customer_id,y,mu,d_plus,d_minus,knn_purity,knn_mean,view,fold,y_true,y_pred,correct
15241,0,0.0,0.0,0.0,0.6,0.15,naics,5,0,0,1
152439,0,0.0,0.0,0.0,0.7,0.0,naics,3,0,0,1
152441,0,0.0,0.0,0.0,0.5,0.0,naics,4,0,0,1
152614,0,0.0,0.0,0.0,0.4,0.0,naics,1,0,1,0
152644,0,0.0,0.0,0.0,0.3,0.0,naics,5,0,0,1
152651,0,0.0,0.0,0.0,0.8,0.0,naics,2,0,0,1
152686,0,0.0,0.0,0.0,0.5,0.0,naics,1,0,0,1
152715,0,0.0,0.0,0.0,0.5,0.0,naics,2,0,0,1
152799,0,0.0,0.0,0.0,0.6,0.0,naics,4,0,0,1
15286,1,0.0,0.0,0.0,0.6,0.0,naics,3,1,0,0
152870,0,-0.9999999999933332,0.0,0.15,0.8,0.06,naics,4,0,0,1
152962,0,0.0,0.0,0.0,0.7,0.0,naics,2,0,0,1
152980,0,0.0,0.0,0.0,0.8,0.0,naics,1,0,0,1
152999,0,0.0,0.0,0.0,0.7,0.0,naics,4,0,0,1
153,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,0,0
15303,0,0.0,0.0,0.0,0.7,0.105,naics,3,0,0,1
153064,1,0.0,0.0,0.0,0.4,0.03,naics,2,1,0,0
153107,1,0.0,0.0,0.0,0.4,0.0,naics,1,1,1,1
153113,0,0.0,0.0,0.0,0.6,0.165,naics,5,0,1,0
153119,0,0.0,0.0,0.0,0.5,0.0,naics,2,0,0,1
153134,1,-0.6666666666659259,0.15,0.75,0.6,0.63,naics,1,1,0,0
153152,0,0.0,0.0,0.0,0.4,0.0,naics,5,0,0,1
153167,1,-0.1428571428569388,0.3,0.4,0.5,0.38,naics,3,1,0,0
153175,1,0.0,0.0,0.0,0.7,0.0,naics,2,1,0,0
1532,0,0.0,0.0,0.0,0.6,0.0,naics,5,0,1,0
153201,1,0.0,0.15,0.15,0.7,0.21,naics,2,1,1,1
153261,1,0.0,0.0,0.0,0.8,0.0,naics,2,1,1,1
153285,1,0.0,0.0,0.0,0.8,0.0,naics,2,1,1,1
153306,0,0.0,0.0,0.0,0.8,0.045,naics,5,0,0,1
153325,0,-0.6249999999992187,0.15,0.65,0.5,0.5900000000000001,naics,4,0,0,1
153447,1,0.0,0.0,0.0,0.8,0.0,naics,5,1,0,0
153485,0,0.0,0.0,0.0,0.7,0.0,naics,3,0,1,0
153576,1,0.0,0.0,0.0,0.4,0.0,naics,2,1,1,1
153595,0,0.0,0.15,0.15,0.9,0.5050000000000001,naics,3,0,0,1
